Atoms,Orbital,Embeddings
B,1s,"[ 2.50020586e-02 -1.11956391e-02 -7.48136938e-02 -1.95745891e-03
 -3.65868732e-02 -1.46332076e-02  1.12071164e-01 -3.11724469e-02
 -9.53987315e-02  8.82170796e-02  1.98796354e-02  4.95326929e-02
  1.73852849e+00  5.97251058e-02  1.51764853e-02 -2.35926434e-02
 -3.81582588e-01 -1.56758353e-04  6.16201639e-01 -5.21635264e-02
 -2.02373974e-02 -4.07468192e-02  8.97656567e-03  7.82986879e-02
 -6.47791773e-02  3.78384516e-02  4.84913215e-02 -2.47513130e-02
  3.97647126e-03  3.81822363e-02 -3.31128240e-02  7.58514851e-02
  7.65486658e-02 -2.42214892e-02 -1.16725462e-02 -7.13498965e-02
 -2.38438696e-01 -5.85647337e-02 -3.66290137e-02  5.78817632e-03
 -1.79526716e-01  5.18941544e-02  4.17337604e-02 -4.28538024e-02
  4.54987064e-02  2.67159287e-02 -2.18403816e-01 -3.35396901e-02
 -6.67381212e-02  2.23197974e-03 -4.59209085e-02 -3.16208303e-01
  4.03302722e-03 -2.41135750e-02  9.81117412e-03 -2.42781900e-02
  1.36549070e-01 -1.01996958e-03  1.41441263e-02  6.09293059e-02
 -1.91591624e-02  4.70888168e-02  4.37362939e-02  6.59053475e-02
 -1.29994648e-02  3.44889536e-02  2.07463782e-02 -8.41746405e-02
 -4.61359210e-02  5.63824512e-02 -1.11184537e-01 -6.01946339e-02
  3.24206240e-02  4.99164015e-01 -2.49190703e-02  3.73255089e-02
 -1.65300462e-02 -1.06333993e-01  2.19270978e-02 -2.34212205e-02
  2.69716047e-02  1.38946772e-02 -7.14854896e-02  3.31139639e-02
 -3.54527384e-02  4.12897095e-02 -4.83238474e-02  1.04781210e-01
 -2.55414527e-02 -8.31338689e-02 -1.99794546e-02  8.61322731e-02
 -6.53428584e-03 -5.50834984e-02  2.33591776e-02  3.87991779e-03
  4.44941148e-02 -3.00951749e-02 -1.60688348e-03  1.18591949e-01
 -3.96306477e-02 -2.30209157e-03 -3.56962681e-02 -1.01473856e+00
 -1.41083188e-02 -8.72364268e-03 -2.33026072e-02  4.82457951e-02
 -5.84431551e-02 -2.38660779e-02 -1.07082035e-02  1.43542945e-01
  4.93286401e-02  1.51843071e-01  2.31150724e-03 -4.02493821e-03
 -1.27486154e-01  5.11245057e-02 -2.67979652e-02 -1.30293831e-01
  3.11476197e-02 -1.41911194e-01  1.19767681e-01  2.56860703e-02
  5.97679839e-02  8.79732240e-03 -7.06068575e-02 -2.19073854e-02
 -8.63992050e-02 -9.05500054e-02  4.13728319e-02 -2.84183621e-01
 -6.64790943e-02 -9.76287350e-02  1.44444227e-01 -1.16079142e-02
 -3.06964517e-02 -3.24723646e-02  5.29244766e-02  5.77413626e-02
 -6.14839792e-02  1.67422481e-02 -1.05733359e+00  2.86863782e-02
 -9.56439301e-02 -3.97008322e-02  1.04257297e-02  9.69846174e-03
 -4.95924801e-03  5.63094378e-01 -2.44201031e-02 -5.47149554e-02
  3.36952247e-02 -4.53226417e-02 -9.34930518e-02  3.27170677e-02
 -5.01667801e-03 -5.22230454e-02  7.40001649e-02  4.44226414e-02
 -8.90731812e-02 -9.67626423e-02 -4.88751642e-02 -7.14474499e-01
 -1.67671591e-03 -1.34673464e+00 -1.28220230e-01  8.61286819e-02
  1.38520405e-01 -7.76785553e-01 -1.65366456e-02 -3.39449532e-02
 -6.45310953e-02  4.72807325e-02 -3.55073400e-02  1.13199465e-02
 -7.95653556e-03  4.72526401e-02  2.27827299e-03  2.82940418e-02
  5.92130423e-02  4.86599980e-04  7.17361569e-02 -5.67531437e-02
  9.09193531e-02 -5.18281981e-02  5.89907169e-02 -7.68600591e-03
 -1.67577602e-02 -1.98286232e-02 -2.06397250e-02  3.42903137e-02
 -9.59498622e-03  7.79168494e-03 -2.85560843e-02  6.57399148e-02
  1.48071766e-01 -1.43548716e-02  1.19424239e-03 -8.21061432e-02
  3.87069732e-01]"
C,1s,"[ 4.57089096e-02  6.80009741e-03 -2.38143317e-02  4.57727648e-02
 -1.44666005e-02  7.17866514e-03 -4.91035022e-02  4.00506482e-02
  2.86649577e-02 -3.68438475e-03  1.09860450e-02 -3.95864360e-02
  2.63653755e-01 -1.88909099e-03 -3.91776785e-02 -3.43247801e-02
  1.00237817e-01  6.11599442e-03 -1.09365374e-01 -2.05045883e-02
 -2.99274325e-02 -1.68366842e-02 -2.79001333e-02 -2.49223784e-02
 -5.10668904e-02 -6.30511716e-02  5.04829176e-02 -4.61123027e-02
 -6.12685131e-03  1.07750278e-02  2.41289586e-02 -3.24454606e-02
  7.37722665e-02 -3.38310227e-02 -2.85039395e-02 -4.77076843e-02
  2.83715464e-02 -5.71175553e-02 -8.61301869e-02  5.44220358e-02
 -1.67407006e-01  1.04108825e-03 -1.43058170e-02 -3.18102539e-04
  5.71160689e-02  1.08572273e-02 -5.76278925e-01  3.52131240e-02
 -1.05697230e-01 -2.01973654e-02 -6.70965668e-03  3.05388927e-01
  3.37762386e-02 -4.78547588e-02  5.02361208e-02 -4.72937562e-02
  1.19710058e-01 -1.13857426e-02 -2.79931724e-02  3.04872356e-02
  7.37051442e-02 -1.54309068e-03  4.92404737e-02  3.26004103e-02
 -1.14895646e-02  3.92161356e-03  2.80388296e-02 -8.91823992e-02
 -3.80592011e-02 -4.85636890e-02 -5.19973338e-01  3.03832609e-02
 -8.27787071e-03 -1.34480149e-02 -2.77685709e-02 -4.57315631e-02
 -3.50777293e-04 -3.01800072e-02  6.35327958e-03  4.32008058e-02
 -4.15391028e-02  3.67213525e-02  6.53132126e-02 -4.84485328e-02
 -9.80799049e-02 -8.89117084e-03  5.38412258e-02  4.69272509e-02
  2.59818491e-02  7.60373324e-02 -7.02321604e-02 -1.27498060e-04
 -1.04621341e-02  2.24632267e-02  3.98032088e-03  8.13673288e-02
  7.32550398e-03 -1.07694827e-02  1.26195895e-02  6.48618862e-03
 -6.22327998e-02 -3.34320357e-04  3.88773307e-02 -4.63817358e-01
  4.25147219e-03 -5.23047000e-02  2.71820687e-02  5.68745956e-02
 -1.21500112e-01 -1.69886742e-02 -1.40524328e-01 -3.52005810e-02
  1.42593347e-02 -4.85346019e-02 -2.26680189e-02 -8.42682086e-03
 -7.15622306e-02  2.40531620e-02 -3.81053649e-02  9.96416807e-03
  2.78751832e-03  4.44642194e-02  8.01302344e-02  3.61574721e-03
 -3.11365444e-02 -4.38054688e-02  8.05778801e-02 -1.87462680e-02
  8.44650939e-02  4.00718488e-02 -1.10837119e-02  9.46371034e-02
  8.79328325e-02 -2.92286158e-01  1.57390088e-01 -1.66089032e-02
  2.21978649e-02 -3.08462027e-02  5.93711715e-03 -2.64022481e-02
 -5.85317910e-02  5.03934920e-02 -7.51868308e-01 -3.15395072e-02
  2.15079814e-01  2.32848339e-03  2.56143734e-02  7.32443854e-02
  8.47147964e-03  1.12293303e+00  6.52744472e-02 -2.46974621e-02
 -2.63812002e-02  1.89948454e-02  2.46275384e-02  9.84519720e-02
  1.36741642e-02 -4.83253971e-03  3.59922834e-03 -1.04688108e-01
  1.56339817e-03 -4.80448902e-02  5.42493165e-02  1.14011645e+00
  5.65575249e-02 -1.17733324e+00 -8.56858939e-02  5.03725827e-01
 -3.04421410e-03 -1.10163724e+00  5.65870255e-02  1.71465911e-02
  1.21389367e-02 -9.03878361e-02  1.25308204e-02 -1.66725076e-04
  7.40907714e-02 -1.12309515e-01 -6.56699762e-03  3.02593149e-02
 -2.52090879e-02  4.73594218e-02  1.88501794e-02  6.54709414e-02
  9.08255279e-02  9.81147960e-02  8.95797554e-03  7.70126134e-02
  2.32249759e-02  1.99845340e-02 -8.56396258e-02 -3.73384804e-02
 -6.07772917e-03 -1.19354334e-02 -3.57610732e-02  1.36702666e-02
  5.65535963e-01 -2.28123143e-02 -9.77571495e-03  8.11755098e-03
  3.87069732e-01]"
F,1s,"[ 6.39117807e-02  4.11115624e-02 -5.56548126e-02  1.61230750e-02
 -1.04957661e-02  3.74516696e-02  7.01807439e-02  8.23260397e-02
  2.86282152e-02  1.67572647e-02 -2.10842378e-02 -1.36469472e-02
  1.37348875e-01  8.52814782e-03 -5.56698255e-03 -6.47190213e-02
  5.72895370e-02 -2.58000195e-02  3.21376562e-01 -1.12968031e-03
 -4.55814227e-03  1.85958529e-03  5.26853651e-03  8.35753083e-02
 -5.74073158e-02 -2.60336534e-03  6.21242635e-02  2.40867771e-03
  3.99015583e-02 -5.91730513e-02  2.25230902e-02  2.61524823e-02
  1.73099302e-02 -4.68418002e-02 -2.16562189e-02 -1.20352060e-02
 -1.24404987e-03 -8.82942528e-02 -4.66643572e-02  7.24123716e-02
 -1.80431455e-01  2.27682460e-02  3.68202701e-02  6.38316944e-03
  5.99971637e-02  1.97149068e-03 -8.31162855e-02 -1.58054614e-03
 -4.83150110e-02  4.90358733e-02 -1.45537406e-03  1.91238868e+00
  3.48478593e-02 -4.49171811e-02 -1.22752599e-02 -6.11573383e-02
  6.37999475e-02  5.86007424e-02 -6.49946332e-02  3.46951857e-02
 -4.35541896e-03  6.31036162e-02  8.28987919e-03 -1.60712609e-03
 -4.73251417e-02  2.43157111e-02 -1.31228268e-02 -1.78766605e-02
 -1.52968401e-02 -3.50353532e-02  1.00420669e-01  1.85244214e-02
  3.41890976e-02 -2.96363854e+00 -1.91429630e-02 -5.59073724e-02
 -2.55363900e-02 -2.34913174e-03  1.80389527e-02 -1.18388282e-02
  2.60315370e-04  2.52266265e-02 -8.87055136e-03 -5.29691018e-03
 -3.08180340e-02  1.00901024e-03  1.18277326e-01  6.19938299e-02
 -4.60090153e-02 -7.61530101e-02 -4.31712754e-02  1.87303685e-02
 -3.99970897e-02 -2.81716306e-02  5.06377667e-02 -1.20341580e-03
 -1.01301111e-02 -2.37681977e-02  3.36064585e-02  5.37149496e-02
 -6.33833706e-02 -9.92990471e-03  7.74980988e-03  2.59178996e-01
 -3.74546088e-02  4.52006608e-02  2.31713522e-02  3.37668993e-02
 -8.82014036e-02  2.35707797e-02  6.25592619e-02  7.87559152e-02
  7.77568668e-02 -2.02261657e-02 -5.32340631e-02  5.15635982e-02
 -5.22872247e-02 -2.92917620e-02 -2.75708083e-02 -4.35619652e-02
  4.01502512e-02  2.82861926e-02 -3.70224006e-03  2.48219185e-02
 -7.49435415e-03 -6.01345748e-02 -4.53843549e-02 -2.04707161e-02
  2.27369163e-02  6.39586374e-02 -4.29540575e-02 -2.94109751e-02
  9.85575616e-02 -4.74847257e-02  1.02503560e-02  4.19918895e-02
  2.55389623e-02 -2.81538945e-02  5.06314859e-02  2.09394041e-02
 -7.85412937e-02  5.48608527e-02  3.84923555e-02  1.29048023e-02
 -2.85558440e-02 -3.58528495e-02 -1.10037811e-02  4.78233695e-02
 -1.88180096e-02 -1.31341815e-01  3.87496911e-02  1.83546580e-02
  1.10799838e-02  3.74825895e-02  2.60864161e-02  5.87309115e-02
 -3.35716866e-02 -5.07667474e-02 -1.75601966e-03 -1.47160947e-01
 -5.74736409e-02 -4.62041497e-02 -4.27721720e-03 -6.82348385e-03
  7.18685687e-02  1.41647488e-01 -9.97054502e-02  2.00618088e-01
  4.20046039e-02 -2.28274897e-01  6.09428324e-02  2.62359343e-03
 -5.94698116e-02  2.75409985e-02  2.27257665e-02  1.18768718e-02
  3.46682779e-02  2.86836803e-01 -4.25216928e-02  1.51264016e-02
  2.41443049e-04  4.91601415e-02  3.94476913e-02  1.53070122e-01
  4.83338945e-02  4.35072221e-02  6.67654052e-02  5.17507568e-02
  3.09070498e-02 -2.15365477e-02 -2.96360664e-02  1.83393545e-02
 -1.81400701e-02 -3.21814814e-03 -9.66018289e-02  3.74723040e-02
  6.23395219e-02 -6.90471195e-03  1.32050067e-02 -2.74655279e-02
  3.87069732e-01]"
Li,1s,"[ 4.95820828e-02  8.64431076e-03 -7.05073029e-02  2.41856482e-02
  2.06533950e-02  1.84439030e-02  8.76535475e-02  3.46211344e-02
 -4.01006714e-02  7.37493932e-02 -2.57593696e-03  1.46030579e-02
 -1.86384690e+00 -2.13894732e-02 -3.11681628e-03 -8.31591263e-02
  1.77702934e-01 -6.05901219e-02  1.07239775e-01 -9.28919911e-02
  4.86298725e-02  3.05432063e-02  4.03400809e-02  6.23231307e-02
 -3.75333875e-02 -2.63385456e-02  7.82896206e-02 -5.69319576e-02
  2.63887774e-02  2.28976049e-02  7.78956665e-03  1.55802071e-01
 -6.64782710e-04 -7.92898908e-02 -2.77853152e-03 -6.48660809e-02
  4.73490775e-01 -9.48023647e-02  5.20943180e-02  6.04438893e-02
 -1.02401137e-01  2.55641062e-02  1.09568410e-01 -9.64275387e-04
  5.00972159e-02  4.07837778e-02  1.40229613e-01  5.81512079e-02
 -7.58699030e-02  1.14984298e-02 -2.63890866e-02 -2.89638281e-01
 -2.64441241e-02  3.28419916e-02  7.62999728e-02 -5.39794415e-02
  2.74591506e-01  2.68373340e-02 -4.20645997e-02  9.06774029e-02
  2.98662670e-02 -3.28175304e-03  2.79666968e-02  4.60360572e-02
 -3.15191154e-03  4.39485461e-02  3.45515385e-02 -1.80179402e-02
 -1.59616619e-02  1.47454748e-02 -7.52432764e-01 -7.92267844e-02
 -1.65629238e-02  1.52576399e+00 -1.08545318e-01 -1.32342456e-02
 -7.69487172e-02  2.35220641e-02  3.76275107e-02 -6.37883134e-03
  3.57401744e-02 -1.79697946e-02 -1.39064658e-02  7.18647316e-02
 -1.93718076e-02 -2.67284792e-02 -5.13080001e-01  1.27823651e-02
 -7.16956407e-02  2.37909675e-01 -1.07511049e-02  8.61866251e-02
 -5.68060279e-02 -6.19193017e-02  7.59773180e-02  1.79346856e-02
  4.26953807e-02  4.86418121e-02  1.37853865e-02  8.90979245e-02
 -1.01536430e-01 -1.89354494e-02 -5.84339909e-02 -4.45390463e-01
 -3.62470634e-02 -4.97112200e-02  9.53655392e-02 -2.67617777e-02
 -2.52153963e-01  2.52568386e-02  8.25906843e-02  1.23705521e-01
  1.04111455e-01  4.35823768e-01 -2.31417865e-02 -4.51521063e-03
  1.17186271e-03  6.61098212e-02  2.75528133e-02 -9.14715379e-02
 -1.69598106e-02 -4.83204760e-02 -1.03933796e-01  2.88210809e-02
  5.19512128e-03 -5.94186485e-02 -1.25429975e-02  1.19098881e-02
 -1.17086237e-02 -1.91977948e-01  4.26040441e-02  3.42561960e-01
  2.79808700e-01 -1.27709448e-01  6.28000200e-02 -4.55840901e-02
 -4.60629538e-02 -6.51078522e-02  3.87975797e-02 -2.51347404e-02
 -1.06493905e-01  4.58199251e-03  6.54850602e-01  6.90969359e-03
 -3.18367518e-02  3.25417966e-02  4.46176641e-02  8.55057687e-02
  8.39294214e-03  1.29564852e-02 -1.39556881e-02 -2.13362668e-02
 -2.19827462e-02 -2.37806253e-02 -5.50020933e-02 -6.44508377e-02
  7.19573814e-03  1.70160886e-02  4.09213863e-02 -1.06556892e-01
 -2.51270775e-02 -3.86184677e-02 -2.73822751e-02 -1.41458583e+00
 -4.46074978e-02 -2.70225927e-02 -1.20428696e-01  8.91298950e-01
  1.10875003e-01 -4.43901688e-01  8.22965056e-02 -2.51474567e-02
 -9.19610038e-02  8.41802880e-02  3.60843167e-02  1.29621476e-03
  1.35384807e-02  1.65814966e-01  6.88743517e-02  2.54425015e-02
  1.84739809e-02  5.60326874e-03  2.13018246e-02  1.19836241e-01
  2.57866941e-02 -1.51929166e-02 -1.28343236e-02  2.81605851e-02
  9.50861126e-02  4.66758646e-02 -1.02281887e-02  5.29679563e-03
  2.54771933e-02 -7.25851581e-02  5.23951650e-03  9.73257422e-02
  6.31726563e-01 -1.59785338e-02  6.84142765e-03 -8.13868362e-03
  3.87069732e-01]"
Mg,1s,"[-1.6095882e-02  1.8975696e-02 -6.6200465e-02 -2.1817815e-03
 -7.1454063e-02 -5.6294459e-03 -1.7777365e-02  2.3467282e-02
 -8.4703434e-03  9.8887600e-02  3.7788765e-03 -7.6440363e-03
 -2.4961916e-01 -1.4183344e-02 -4.1526905e-03  1.6819578e-02
  1.4468506e-02 -3.1585630e-02  4.1686529e-01  3.3058092e-02
  1.9645682e-02 -4.9149655e-02 -4.8242747e-03  7.4274121e-03
 -7.9652704e-02 -9.5403008e-02 -4.3656677e-02 -7.0380375e-02
  1.1792894e-02 -2.0781990e-02  4.9685225e-02  7.7034652e-02
  2.0246709e-02 -3.1207714e-02 -1.0444609e-02 -4.4744980e-02
  3.5731545e-01  2.2114411e-01 -8.8273168e-02  2.6286893e-02
 -9.6573159e-02 -2.6042141e-02  6.7440420e-02  9.0342062e-03
  4.5156475e-02  3.7346423e-02  1.7316654e+00 -3.4999475e-02
 -3.7023466e-02 -4.6411857e-02  1.6151024e-02 -5.3304094e-01
  5.2982405e-02 -1.6096655e-02 -1.5853886e-03  1.4924770e-03
  1.7784625e-01  1.4128137e-02  9.9312216e-03  8.4176287e-04
  4.2209953e-02 -4.0164132e-02  8.7340157e-03  1.4382025e-02
 -3.1491376e-02  7.8916572e-02 -3.7224721e-02 -1.3654474e-02
  4.6058288e-03 -1.2310269e-02 -3.5334229e-03  2.8935011e-02
  2.2661949e-02  7.7338618e-01 -1.3756867e-02 -4.2860199e-02
  2.4971381e-02 -3.8697585e-02  1.9230310e-02 -3.5281729e-02
 -5.2260198e-02  1.3099952e-02  3.5281018e-03 -4.4462580e-02
 -6.2125430e-02  4.6478800e-02 -1.0248802e+00 -1.3245717e-03
  6.3314408e-02  1.2895219e-01 -1.6151775e-02 -2.5227826e-02
  1.0559926e-02 -4.6372332e-02  4.6200596e-02  4.3449596e-02
 -2.6374564e-02 -3.6506727e-02  6.9637880e-02  1.4768312e-02
 -7.0581473e-02  2.5355000e-02  8.5089765e-02 -6.4674503e-01
 -2.7260799e-02 -5.9167784e-02 -4.7662659e-03  2.1510171e-02
 -2.3201545e-01  3.9737411e-03  6.7247063e-02 -2.6665717e-01
  4.6102628e-02 -1.6058630e-01 -4.5549542e-02  4.3951847e-02
 -4.0437520e-02 -2.3839083e-02 -5.9012037e-02 -4.6363372e-02
  1.0221425e-02  1.6037416e-02 -4.9074129e-03 -3.5681487e-03
 -8.8644236e-02 -8.5612983e-02  2.8173573e-02 -1.7164513e-02
 -2.0034858e-03  3.4456965e-01  3.6807261e-02 -1.6755046e-02
  2.2379154e-01 -6.8820581e-02 -2.9697344e-02 -1.2700961e-02
 -3.2844588e-02 -3.5676971e-02 -1.4182199e-03 -5.2045402e-03
  3.2564821e-03  2.2449080e-02  2.0679882e-01 -4.9465369e-02
  6.7007527e-02  2.9448148e-02  4.3640863e-02  4.7721229e-02
  7.2812684e-02  3.5327673e-01  2.0271404e-02 -7.4174829e-02
 -3.1979096e-03  4.4148332e-03  8.3876662e-03  6.6407271e-02
 -6.5400384e-02 -4.2005546e-02  4.5862976e-03  1.4564078e-01
 -7.7921465e-02  3.1560272e-02  3.3124894e-02  1.2983817e-01
  1.3514817e-01  2.1871777e-01 -2.6369654e-03 -4.0277171e-01
  5.4031767e-02 -4.0745288e-01  2.9384920e-02  9.9948928e-02
 -1.7965326e-02 -6.3022666e-02  1.2674497e-02 -3.6697615e-02
  3.8022202e-02  3.8002831e-01  1.9434212e-02 -1.6718049e-02
 -1.6748479e-02  2.6692823e-03  7.0006251e-02  1.5865937e-03
  6.7158572e-02  3.6696691e-02  2.2074176e-02  6.2535159e-02
  5.8881871e-02 -4.6282347e-02 -5.8078580e-02  2.4146834e-02
 -4.3388158e-02  1.4720075e-03  3.7123159e-02  7.1306579e-02
 -1.4579684e-01 -3.5091834e-03 -4.1606452e-02 -3.3803865e-02
  3.8706973e-01]"
N,1s,"[ 1.47553921e-01 -1.17749665e-02 -8.29961002e-02  4.61858585e-02
  4.56528440e-02  3.10720727e-02  6.26502708e-02  3.62014771e-03
 -1.47326943e-02  1.64167918e-02  2.76470147e-02 -2.66870689e-02
 -9.40524638e-02  7.47478828e-02  1.88799407e-02 -7.40694031e-02
 -5.41084707e-01 -6.47333562e-02 -6.78159118e-01 -6.78358786e-03
  5.88434935e-02 -4.92790341e-02 -1.01231905e-02  3.48939821e-02
 -6.63860887e-02 -5.02709337e-02  1.76470697e-01 -3.57478373e-02
  9.64515959e-04  4.13280353e-02  8.05711299e-02  1.59816310e-01
  3.98656577e-02 -2.62868777e-02 -3.18521857e-02 -4.19815034e-02
 -7.41977617e-02 -2.23241016e-01 -6.00582659e-02  1.08776450e-01
 -2.72635281e-01  9.92381759e-03  5.37650883e-02 -8.04540142e-02
  2.24653594e-02 -8.17170441e-02 -3.91416252e-01  4.25813086e-02
 -9.15430561e-02 -2.88384445e-02 -1.07008573e-02 -1.92506149e-01
  2.35150959e-02 -5.54578230e-02  5.76340556e-02 -3.62267196e-02
  2.44731039e-01  3.20024323e-03  3.45134409e-03 -3.43091879e-03
  4.29157689e-02  6.85717445e-03  1.22350767e-01  2.19158530e-02
 -2.23174859e-02  3.45036238e-02  1.64261088e-02 -1.10817209e-01
 -2.58289627e-03  2.68967673e-02  3.88270617e-01 -6.46541268e-02
 -7.25830626e-03 -1.24267626e+00 -7.60158673e-02 -2.47865729e-03
 -1.67604759e-02 -5.54777682e-02 -6.29347116e-02  2.91183572e-02
 -4.50079236e-03  6.08497337e-02  2.07996760e-02 -7.79435262e-02
 -1.49717098e-02  3.92959416e-02 -4.86440957e-03  9.79744345e-02
 -4.14675921e-02  1.53959394e-02  4.27211113e-02  1.20683342e-01
 -5.44469506e-02  1.01780882e-02  4.43721041e-02 -2.88209636e-02
  9.52506363e-02 -1.24247946e-01  3.13894749e-02  3.51946689e-02
 -1.57630458e-01 -1.02633713e-02 -4.23900932e-02 -3.60202700e-01
 -3.13964188e-02  5.19407578e-02  3.81480604e-02  8.22811648e-02
  7.77603090e-02  3.96563821e-02 -8.28996971e-02  9.37362611e-02
 -1.15341125e-02  3.90130766e-02 -6.41597584e-02  6.36814535e-02
 -7.67223984e-02  7.92187750e-02  1.82537865e-02 -7.57522509e-02
  3.06465589e-02 -6.78603873e-02  8.91385078e-02  6.67569712e-02
  3.73268202e-02 -2.42775977e-02 -8.63881037e-02 -5.04944660e-02
  1.26202898e-02 -9.36978161e-02  2.11070757e-03  2.17155311e-02
  1.22687817e-01 -1.28704935e-01 -7.14476109e-02  3.01321410e-02
 -2.51907147e-02  2.19855830e-02  8.21678415e-02  3.71014252e-02
  1.86311994e-02  9.57274530e-03  5.16846418e-01  2.63164714e-02
  3.92164588e-02 -9.52587575e-02  3.48111466e-02  4.40215096e-02
 -3.57270390e-02  9.46530998e-01 -1.15954354e-02 -4.58400324e-02
  9.33357887e-03  5.31566516e-02 -2.97229327e-02  6.84492663e-02
  6.65733069e-02  1.12329252e-01  2.72745602e-02 -7.38926828e-02
 -1.67773888e-02 -9.62795839e-02 -6.11347370e-02  5.38358033e-01
  3.94960865e-02 -2.22238958e-01 -9.82869342e-02 -8.65755081e-02
  6.30770549e-02 -8.77373517e-01  1.83739308e-02 -5.28501496e-02
 -8.21900293e-02  7.94126187e-03  3.21300477e-02 -3.20802373e-03
  2.70962343e-02  7.23422110e-01 -2.51197480e-02  1.53063118e-01
 -9.26507637e-03  1.93854496e-02  6.87623173e-02  1.98802426e-01
  3.49263027e-02  3.50844115e-02 -1.14444997e-02 -3.87300402e-02
  2.54262388e-02 -9.99220647e-04 -1.37231112e-01 -9.00310837e-03
 -6.14204630e-02 -2.39412654e-02 -9.54499096e-03  2.81091463e-02
  2.93429345e-01 -1.35510778e-02  1.03463307e-01 -7.73490518e-02
  3.87069732e-01]"
Na,1s,"[ 7.20947608e-02  3.69057804e-02 -6.37993589e-02 -2.03071833e-02
 -3.58315445e-02  3.11297383e-02 -4.25271876e-03 -6.89050555e-02
 -1.59477349e-02  1.55879289e-01  9.21617821e-03 -3.76947410e-02
 -2.74085236e+00  9.91283357e-02 -5.56308310e-04 -1.93407945e-03
  7.59009868e-02 -7.18073994e-02 -1.66933566e-01 -2.53606979e-02
  8.30850601e-02  1.15305167e-02 -1.05731785e-02  7.59863183e-02
 -4.22903001e-02  9.57544893e-03  1.20100141e-01 -1.25671729e-01
  6.70647994e-02  4.66289669e-02 -4.04820815e-02  1.53505445e-01
 -2.29449309e-02 -6.06217980e-02 -1.50877470e-02 -4.55293395e-02
 -4.61788565e-01  3.12707350e-02 -3.89649197e-02  4.78693321e-02
  3.94264981e-02  2.83556618e-02  3.84771191e-02 -1.80411711e-02
  7.06375157e-03 -3.93518284e-02  1.84223443e-01  1.96531117e-02
 -1.34887323e-01  1.13301852e-03  3.44956890e-02 -3.70761871e-01
 -8.40523839e-02  3.61625701e-02  8.10208321e-02 -7.82878175e-02
  2.24728063e-01  5.72045073e-02  4.51421877e-03  8.54777247e-02
  7.13293180e-02 -1.11298040e-02 -5.09401187e-02  2.75600627e-02
 -1.03100007e-02  3.95196602e-02  3.37836407e-02 -3.80447693e-02
 -6.37724251e-02 -7.32309138e-03 -6.21188760e-01 -6.63668215e-02
  3.69069166e-02  1.40001333e+00 -7.36449659e-02 -1.42630283e-02
 -1.36745740e-02 -6.76747933e-02  7.32126758e-02 -2.56999582e-03
 -2.16172244e-02  6.73729852e-02 -3.89675796e-02  5.28328232e-02
 -4.86148931e-02 -7.64312036e-03  3.82839173e-01  1.11089930e-01
 -9.06987414e-02  2.36002535e-01  1.43864900e-02  5.91691658e-02
 -1.01565801e-01 -5.83861992e-02  1.07604101e-01  1.65467262e-02
  5.64100668e-02  6.79272935e-02  7.15357885e-02  3.22923213e-02
 -8.95248204e-02 -2.98207365e-02 -7.83100054e-02 -5.49413979e-01
 -4.53065634e-02 -2.79153027e-02 -9.29608122e-02  7.23017147e-03
 -3.65356088e-01 -2.26121340e-02  1.71624273e-01  1.63082719e-01
  2.04090402e-02  1.14231420e+00  8.33778642e-03 -1.98832341e-02
 -1.08126462e-01  3.15228403e-02 -6.43197298e-02 -1.41343087e-01
 -8.29208344e-02 -2.15009153e-02 -1.24913499e-01  2.14136168e-02
  2.11596712e-02 -5.49828112e-02 -8.13956037e-02  2.58074375e-03
  1.41832465e-02  1.15600429e-01  1.46592623e-02 -7.54835084e-02
  3.63951445e-01 -4.26292747e-01  5.77274673e-02  7.11674988e-02
 -1.19121578e-02 -5.60739003e-02 -2.74138078e-02 -7.25124329e-02
 -1.18051104e-01 -1.98799698e-03 -1.16112657e-01 -2.67817918e-02
  1.41991571e-01 -3.96742579e-03  1.22071877e-02  3.06457840e-02
 -5.98416701e-02 -4.44148272e-01 -2.16145013e-02 -2.36855224e-02
  3.48138139e-02 -1.46666169e-02 -6.25477657e-02  2.47920491e-03
  4.09320779e-02  4.46045026e-02 -8.36561434e-03  1.93974003e-01
 -9.37815979e-02 -9.13360715e-02 -2.90131196e-02 -2.02274010e-01
 -2.54364777e-02  3.00301313e-01  9.50307921e-02  6.07763410e-01
  9.80493203e-02 -3.17803025e-01  3.10022309e-02 -5.23795420e-03
 -4.42639887e-02 -3.23783517e-01 -5.82365319e-05 -9.44276527e-02
 -6.17341418e-03  8.40726793e-01 -1.88972317e-02  1.32920332e-02
  3.68368924e-02  3.78906801e-02  8.60870257e-02 -5.33831477e-01
  3.54633592e-02 -3.96654643e-02  4.07722145e-02 -3.83142419e-02
  6.44664764e-02  1.94085781e-02  7.02212285e-03 -1.15899472e-02
 -1.20881451e-02  4.32118550e-02 -1.36386693e-01  5.32973222e-02
 -7.37731159e-03  3.82382423e-02  7.01180771e-02  6.85338862e-03
  3.87069732e-01]"
