Molecule,Element,Orbital,Binding Energy
Ac,Ac,2p3/2,15871.0
Ac,Ac,3s,5002.0
Ac,Ac,3p1/2,4656.0
Ac,Ac,3p3/2,3909.0
Ac,Ac,3d3/2,3370.0
Ac,Ac,3d5/2,3219.0
Ac,Ac,4s,1269.0
Ac,Ac,4p1/2,1080.0
Ac,Ac,4p3/2,890.0
Ac,Ac,4d3/2,675.0
Ac,Ac,4d5/2,639.0
Ac,Ac,4f5/2,319.0
Ac,Ac,4f7/2,319.0
Ac,Ac,5s,272.0
Ac,Ac,5p1/2,215.0
Ac,Ac,5p3/2,167.0
Ac,Ac,5d3/2,80.0
Ac,Ac,5d5/2,80.0
Th,Th,1s,109651.0
Th,Th,2s,20472.0
Th,Th,2p1/2,19693.0
Th,Th,2p3/2,16300.0
Th,Th,3s,5182.0
Th,Th,3p1/2,4830.0
Th,Th,3p3/2,4046.0
Th,Th,3d3/2,3491.0
Th,Th,3d5/2,3332.0
Th,Th,4s,1330.0
Th,Th,4p1/2,1168.0
Th,Th,4p3/2,966.4
Th,Th,4d3/2,712.1
Th,Th,4d5/2,675.2
Th,Th,4f5/2,342.4
Th,Th,4f7/2,333.1
Th,Th,5d3/2,92.5
Th,Th,5d5/2,85.4
Th,Th,6s,41.4
Th,Th,6p1/2,24.5
Th,Th,6p3/2,16.6
Pa,Pa,1s,112601.0
Pa,Pa,2s,21105.0
Pa,Pa,2p1/2,20314.0
Pa,Pa,2p3/2,16733.0
Pa,Pa,3s,5367.0
Pa,Pa,3p1/2,5001.0
Pa,Pa,3p3/2,4174.0
Pa,Pa,3d3/2,3611.0
Pa,Pa,3d5/2,3442.0
Pa,Pa,4s,1387.0
Pa,Pa,4p1/2,1224.0
Pa,Pa,4p3/2,1007.0
Pa,Pa,4d3/2,743.0
Pa,Pa,4d5/2,708.0
Pa,Pa,4f5/2,371.0
Pa,Pa,4f7/2,360.0
Pa,Pa,5s,310.0
Pa,Pa,5p1/2,232.0
Pa,Pa,5p3/2,232.0
Pa,Pa,5d3/2,94.0
Pa,Pa,5d5/2,94.0
U,U,1s,115606.0
U,U,2s,21757.0
U,U,2p1/2,20948.0
U,U,2p3/2,17166.0
U,U,3s,5548.0
U,U,3p1/2,5182.0
U,U,3p3/2,4303.0
U,U,3d3/2,3728.0
U,U,3d5/2,3552.0
U,U,4p3/2,1043.0
U,U,4d3/2,778.3
U,U,4d5/2,736.2
U,U,4f5/2,388.2
U,U,4f7/2,377.4
U,U,5d3/2,102.8
U,U,5d5/2,94.2
U,U,6s,43.9
U,U,6p1/2,26.8
U,U,6p3/2,16.8
