Test MSE,Val MSE,Epoch,Model
44.83840406066253,51.11885946305072,1,MPNNModel
43.386651797873014,50.95670147181247,2,MPNNModel
40.71887148735972,50.657575763639855,3,MPNNModel
41.21393072935321,49.25643405895914,4,MPNNModel
38.25455554280832,48.30237048893104,5,MPNNModel
36.176077331717856,42.566912129621954,6,MPNNModel
36.176077331717856,44.43501433296167,7,MPNNModel
36.176077331717856,47.013540505213356,8,MPNNModel
31.276864038155892,40.530312871978964,9,MPNNModel
31.276864038155892,43.263462107114876,10,MPNNModel
28.07948625304068,35.67301100728137,11,MPNNModel
28.07948625304068,41.54045489025208,12,MPNNModel
28.07948625304068,42.34443139248207,13,MPNNModel
21.780600182534176,32.57347733765237,14,MPNNModel
21.780600182534176,35.61366220472404,15,MPNNModel
19.27970240610263,27.43389047973986,16,MPNNModel
18.10408977519475,26.72324367659301,17,MPNNModel
18.10408977519475,32.91049971254031,18,MPNNModel
16.22754930789514,25.202348420337174,19,MPNNModel
14.190644942814664,22.38705635622589,20,MPNNModel
13.255483370455767,19.97744781140996,21,MPNNModel
13.255483370455767,38.74629043682102,22,MPNNModel
13.255483370455767,22.016671131983788,23,MPNNModel
13.255483370455767,26.356777106554553,24,MPNNModel
13.255483370455767,22.643298731245668,25,MPNNModel
13.255483370455767,26.06224719261824,26,MPNNModel
13.255483370455767,35.68549493331688,27,MPNNModel
13.255483370455767,29.08831941610132,28,MPNNModel
13.255483370455767,27.21739532264702,29,MPNNModel
13.255483370455767,37.68465383119501,30,MPNNModel
13.255483370455767,22.379351300466716,31,MPNNModel
