Test MSE,Val MSE,Epoch,Model
45.53015990744575,58.80253152286305,1,MPNNModel
42.583633437425384,58.27433890156024,2,MPNNModel
40.29657821873881,52.7103805615564,3,MPNNModel
37.84860681280593,45.73003826674753,4,MPNNModel
37.84860681280593,48.13774581217605,5,MPNNModel
33.38253209971197,40.20886095096658,6,MPNNModel
33.38253209971197,48.00704249765512,7,MPNNModel
33.38253209971197,44.93020235538023,8,MPNNModel
33.38253209971197,112.45543006301041,9,MPNNModel
25.91026590341825,33.77826383879467,10,MPNNModel
25.91026590341825,42.49766880429009,11,MPNNModel
25.91026590341825,54.752815504083294,12,MPNNModel
25.91026590341825,39.14186059405512,13,MPNNModel
25.91026590341825,68.92173205001374,14,MPNNModel
25.91026590341825,41.48172469401199,15,MPNNModel
25.91026590341825,38.913703557955266,16,MPNNModel
25.91026590341825,74.15892701254747,17,MPNNModel
25.91026590341825,66.59588521517806,18,MPNNModel
25.91026590341825,177.56750937069162,19,MPNNModel
25.91026590341825,82.28821446741559,20,MPNNModel
