Test MSE,Val MSE,Epoch,Model
38.159733434347395,67.2752779718765,1,MPNNModel
34.86862066026631,45.89321493297786,2,MPNNModel
34.86862066026631,69.26988595430969,3,MPNNModel
34.86862066026631,50.34590070939685,4,MPNNModel
26.77988645886965,37.06293631013817,5,MPNNModel
26.77988645886965,85.4783660976958,6,MPNNModel
26.77988645886965,79.89698579617153,7,MPNNModel
26.77988645886965,142.9459869473052,8,MPNNModel
26.77988645886965,187.47253679884318,9,MPNNModel
26.77988645886965,67.91622127286493,10,MPNNModel
26.77988645886965,141.39760745571803,11,MPNNModel
26.77988645886965,115.0178407174297,12,MPNNModel
10.522284302807128,30.708000411178016,13,MPNNModel
10.522284302807128,189.478311599393,14,MPNNModel
8.212261965076697,24.174321129558862,15,MPNNModel
8.212261965076697,51.51994214108503,16,MPNNModel
8.212261965076697,64.56606629683404,17,MPNNModel
8.418930520073163,22.660590161697844,18,MPNNModel
8.418930520073163,164.158300429209,19,MPNNModel
8.418930520073163,64.90226586690405,20,MPNNModel
8.418930520073163,38.12034924028005,21,MPNNModel
8.418930520073163,59.158081371046194,22,MPNNModel
6.122419089505871,16.04473012484603,23,MPNNModel
6.122419089505871,55.32224470118317,24,MPNNModel
6.122419089505871,42.711464895691684,25,MPNNModel
6.122419089505871,22.28563208658187,26,MPNNModel
6.122419089505871,34.532132578218,27,MPNNModel
6.122419089505871,23.37318820640689,28,MPNNModel
6.122419089505871,44.4021845590413,29,MPNNModel
6.122419089505871,128.43984482120524,30,MPNNModel
6.122419089505871,53.81420945155586,31,MPNNModel
6.122419089505871,125.32672446167227,32,MPNNModel
6.122419089505871,19.196275523451508,33,MPNNModel
