Test MSE,Val MSE,Epoch,Model
44.42464568712877,50.6252939928693,1,MPNNModel
41.74854215168338,47.89845339150645,2,MPNNModel
39.186283202658636,45.12168082344842,3,MPNNModel
35.656878656279844,42.301453725581226,4,MPNNModel
33.19003106438783,39.300202946308836,5,MPNNModel
29.835949129907995,35.92289950187779,6,MPNNModel
26.423443230425846,32.98493393959627,7,MPNNModel
24.108373399678023,30.612717925525104,8,MPNNModel
21.054573561878804,27.724918376514285,9,MPNNModel
19.308294170565453,25.841521922509717,10,MPNNModel
17.315580701418114,23.93221211594349,11,MPNNModel
14.699977550488375,21.12803586630605,12,MPNNModel
13.404851044488158,20.133153667100487,13,MPNNModel
12.805517274989553,19.345302614894415,14,MPNNModel
10.832813434181833,17.10333807420133,15,MPNNModel
10.06387441319973,16.592320823853363,16,MPNNModel
9.249880319793904,15.582695183896513,17,MPNNModel
8.492434242051788,14.618811685530865,18,MPNNModel
7.339181916419961,13.385353905025765,19,MPNNModel
7.339181916419961,13.824367298799402,20,MPNNModel
7.339181916419961,13.735332786979418,21,MPNNModel
6.84780930425285,12.952779517914083,22,MPNNModel
6.84780930425285,13.159899182811653,23,MPNNModel
6.394562860614591,12.427343649942367,24,MPNNModel
6.394562860614591,12.683515473294971,25,MPNNModel
5.640524444288602,11.636161690162945,26,MPNNModel
5.640524444288602,11.823669794095517,27,MPNNModel
5.142159535755059,11.076502359476706,28,MPNNModel
4.510474293370871,10.47328093334702,29,MPNNModel
4.510474293370871,10.941239955685063,30,MPNNModel
4.510474293370871,11.061835944710035,31,MPNNModel
4.510474293370871,11.409355641790848,32,MPNNModel
4.363044665900434,10.420448424616108,33,MPNNModel
4.363044665900434,10.545808709345994,34,MPNNModel
4.354396379210318,10.31194088383144,35,MPNNModel
4.354396379210318,10.562430257622509,36,MPNNModel
4.354396379210318,10.476733900197102,37,MPNNModel
3.6769261692633717,9.73031159697986,38,MPNNModel
3.6769261692633717,9.844923574876187,39,MPNNModel
3.6769261692633717,9.860345010932178,40,MPNNModel
3.6769261692633717,9.770364189331879,41,MPNNModel
3.6769261692633717,9.92939847690505,42,MPNNModel
3.6769261692633717,9.982531184285678,43,MPNNModel
3.6753317569707162,9.50298061941031,44,MPNNModel
3.6753317569707162,9.77174453588208,45,MPNNModel
3.6753317569707162,9.618473133907484,46,MPNNModel
3.6380574076997743,9.401053241961488,47,MPNNModel
3.6380574076997743,9.568004039812227,48,MPNNModel
3.6380574076997743,9.569847298220246,49,MPNNModel
3.6380574076997743,9.825537667784879,50,MPNNModel
3.318155167551414,9.312709681438273,51,MPNNModel
3.318155167551414,9.438088747206626,52,MPNNModel
3.318155167551414,9.314377243056706,53,MPNNModel
3.318155167551414,9.7021194465365,54,MPNNModel
3.318155167551414,9.488649708555657,55,MPNNModel
3.339150130008672,9.05212256487678,56,MPNNModel
3.339150130008672,9.103391910358013,57,MPNNModel
3.339150130008672,9.83967436199133,58,MPNNModel
3.4014944137565957,9.01464090558809,59,MPNNModel
3.4014944137565957,9.249973218029467,60,MPNNModel
3.4014944137565957,9.268936227119761,61,MPNNModel
3.4014944137565957,9.487340189566838,62,MPNNModel
3.4014944137565957,9.284084868178189,63,MPNNModel
3.4014944137565957,9.015042318787387,64,MPNNModel
3.0898245699426163,8.915348814446533,65,MPNNModel
3.0810412823186106,8.591337597588565,66,MPNNModel
3.0810412823186106,9.485490646288733,67,MPNNModel
3.0810412823186106,8.694127390906575,68,MPNNModel
3.0810412823186106,8.93798963497092,69,MPNNModel
3.0389120271349364,8.466234803084813,70,MPNNModel
3.0389120271349364,9.022256433676386,71,MPNNModel
3.0389120271349364,9.176900802950735,72,MPNNModel
3.0389120271349364,8.752999017875473,73,MPNNModel
3.0389120271349364,8.731001203752184,74,MPNNModel
3.0389120271349364,9.083877408975805,75,MPNNModel
3.0389120271349364,8.87261206572633,76,MPNNModel
3.0389120271349364,8.977382720608835,77,MPNNModel
3.0389120271349364,8.884805324337407,78,MPNNModel
3.0389120271349364,9.014291502125813,79,MPNNModel
3.0389120271349364,9.168986277272179,80,MPNNModel
