Test MSE,Val MSE,Epoch,Model
43.51766824950006,49.536468476430656,1,MPNNModel
41.308297085329365,47.65372578134417,2,MPNNModel
38.81170794205543,44.78788270278975,3,MPNNModel
36.53708990437709,42.88649367918274,4,MPNNModel
34.16798309063843,39.959943044840884,5,MPNNModel
34.16798309063843,40.13714140521411,6,MPNNModel
30.881537640561575,39.10977658425371,7,MPNNModel
29.02387363612367,35.74248608374894,8,MPNNModel
25.82968987844735,35.54612992377727,9,MPNNModel
23.889623574563856,32.3325513142629,10,MPNNModel
22.231418263490927,28.853291937332376,11,MPNNModel
19.95597192277881,26.67120883687828,12,MPNNModel
18.175244190175988,24.266100744617134,13,MPNNModel
18.175244190175988,26.101153896997612,14,MPNNModel
18.175244190175988,25.60306005376744,15,MPNNModel
18.175244190175988,25.106103012393962,16,MPNNModel
11.591159168378216,22.64474113559999,17,MPNNModel
10.663290969280254,22.050513691474524,18,MPNNModel
10.62387166574327,20.472798765912696,19,MPNNModel
10.62387166574327,26.202767823678204,20,MPNNModel
10.62387166574327,22.482186982348892,21,MPNNModel
10.62387166574327,23.674625267977884,22,MPNNModel
8.078203501878974,17.052957209234872,23,MPNNModel
8.078203501878974,19.03291119214079,24,MPNNModel
8.078203501878974,27.39477951800237,25,MPNNModel
7.048944465979692,16.809812069399033,26,MPNNModel
7.048944465979692,31.69410740880865,27,MPNNModel
7.048944465979692,19.16370724758049,28,MPNNModel
7.048944465979692,31.821576088120874,29,MPNNModel
7.048944465979692,23.236912145219176,30,MPNNModel
7.048944465979692,23.324654162562343,31,MPNNModel
7.048944465979692,21.544683517117626,32,MPNNModel
7.048944465979692,22.123579071250923,33,MPNNModel
7.048944465979692,22.540441937938606,34,MPNNModel
7.048944465979692,19.488406561149812,35,MPNNModel
7.048944465979692,26.08113943484388,36,MPNNModel
